score_diff,time_remaining_s,minute_of_game,wp,leverage
0,840,46.0,0.5325964995537918,0.3257116062645306
0,900,45.0,0.5329621311857772,0.31526688802166547
0,960,44.0,0.5333154127914886,0.30545625366887974
0,1020,43.0,0.5336574855421001,0.2962294986345346
0,1080,42.0,0.5339893249669002,0.28754297459110945
0,1140,41.0,0.5343117727793156,0.2793584011231957
0,1200,40.0,0.534625561247384,0.2716419473375332
0,1260,39.0,0.534931332138329,0.26436351117604573
0,1320,38.0,0.5352296516445121,0.257496146111649
0,1380,37.0,0.5355210222860003,0.2510155994704285
0,1440,36.0,0.5358058925061817,0.24489993651496372
0,1500,35.0,0.5360846644844738,0.2391292312747751
0,1560,34.0,0.5363577005550346,0.23368530994057946
0,1620,33.0,0.5366253285239377,0.2285515361006072
0,1680,32.0,0.5368878461074083,0.22371262961453303
0,1740,31.0,0.5371455246624333,0.21915451277612075
0,1800,30.0,0.5373986123429432,0.21486417880053144
0,1860,29.0,0.5376473367861061,0.2108295787177446
0,1920,28.0,0.5378919074115108,0.2070395235512702
0,1980,27.0,0.5381325173993119,0.20348359927606746
0,2040,26.0,0.5383693454004841,0.2001520925276643
0,2100,25.0,0.5386025570222363,0.19703592540949205
0,2160,24.0,0.5388323061236903,0.19412659804201088
0,2220,23.0,0.5390587359506321,0.19141613773346727
0,2280,22.0,0.5392819801331095,0.18889705384172722
0,2340,21.0,0.5395021635656111,0.1865622975497755
0,2400,20.0,0.5397194031862875,0.1844052259019714
0,2460,19.0,0.5399338086690184,0.18241956954995564
0,2520,18.0,0.5401454830399516,0.180599403740831
0,2580,17.0,0.54035452322835,0.17893912214946095
0,2640,16.0,0.5405610205601059,0.17743341321424144
0,2700,15.0,0.5407650612010493,0.17607723868374897
0,2760,14.0,0.5409667265561565,0.17486581412193436
0,2820,13.0,0.5411660936299062,0.17379459115349494
0,2880,12.0,0.5413632353523044,0.17285924125975594
0,2940,11.0,0.541558220874496,0.17205564095979142
0,3000,10.0,0.5417511158373582,0.1713798582323116
0,3060,9.0,0.5419419826160357,0.1708281400516295
0,3120,8.0,0.5421308805429988,0.17039690092630633
0,3180,7.0,0.5423178661118874,0.17008271234223876
0,3240,6.0,0.5425029931641233,0.16988229302332153
0,3300,5.0,0.5426863130600429,0.16979249993269407
0,3360,4.0,0.5428678748360858,0.16981031994614693
0,3420,3.0,0.5430477253494082,0.16993286213674413
0,3480,2.0,0.5432259094111263,0.17015735061625753
0,3540,1.0,0.5434024699092648,0.17048111788474196
0,3600,0.0,0.5435774479223662,0.1709015986446094
1,0,60.0,0.9702184100346217,0.13798800179077186
1,60,59.0,0.9435445113760661,0.17363943234172208
1,120,58.0,0.9287992950487124,0.18623829308244533
1,180,57.0,0.91603309763605,0.19445444084662855
1,240,56.0,0.9043575329667695,0.2001910881132296
1,300,55.0,0.8934451035753549,0.2042320946704249
1,360,54.0,0.8831355867660211,0.20700760244983818
1,420,53.0,0.8733376222276258,0.20879229073893812
1,480,52.0,0.8639934676423785,0.20977896227223092
1,540,51.0,0.8550636535089307,0.21011184982407405
1,600,50.0,0.8465194098683518,0.20990378575414748
1,660,49.0,0.8383385877035537,0.20924592242585294
1,720,48.0,0.830503317449553,0.2082136459082855
1,780,47.0,0.8229985981831087,0.2068703883814107
1,840,46.0,0.8158114151379243,0.2052702077522096
1,900,45.0,0.808930171143127,0.20345960706974087
1,960,44.0,0.8023443115266375,0.20147886505218326
1,1020,43.0,0.7960440718121874,0.19936304054751142
1,1080,42.0,0.7900203052365484,0.1971427523643734
1,1140,41.0,0.7842643631641067,0.19484479973299174
1,1200,40.0,0.7787680111049383,0.19249266658359465
1,1260,39.0,0.7735233689928924,0.19010693895570274
1,1320,38.0,0.7685228681521482,0.18770565590168775
1,1380,37.0,0.7637592198247971,0.18530460834146967
1,1440,36.0,0.7592253917459723,0.18291759634690608
1,1500,35.0,0.7549145903362668,0.18055665260478282
1,1560,34.0,0.7508202468184163,0.1782322379019745
1,1620,33.0,0.7469360060729271,0.17595341312455537
1,1680,32.0,0.7432557174004147,0.17372799128835792
1,1740,31.0,0.7397734266059915,0.17156267240524414
1,1800,30.0,0.7364833689956958,0.16946316345902812
1,1860,29.0,0.7333799629987675,0.16743428536437777
1,1920,28.0,0.730457804217586,0.16548006847451358
1,1980,27.0,0.7277116597697221,0.16360383796363176
1,2040,26.0,0.7251364628310895,0.16180829021977738
1,2100,25.0,0.7227273073207497,0.1600955612306857
1,2160,24.0,0.7204794426901743,0.1584672878197646
1,2220,23.0,0.7183882687952885,0.15692466248536785
1,2280,22.0,0.7164493308403219,0.1554684825089755
1,2340,21.0,0.7146583143896893,0.15409919392337867
1,2400,20.0,0.7130110404488436,0.1528169308677908
1,2460,19.0,0.7115034606179557,0.15162155080106388
1,2520,18.0,0.7101316523239538,0.15051266599534818
1,2580,17.0,0.7088918141372255,0.14948967168945992
1,2640,16.0,0.7077802611794627,0.14855177124305252
1,2700,15.0,0.7067934206289116,0.14769799859863908
1,2760,14.0,0.7059278273287863,0.1469272383281407
1,2820,13.0,0.7051801195039741,0.1462382435133308
1,2880,12.0,0.7045470345904306,0.14562965168507902
1,2940,11.0,0.7040254051809075,0.1450999990242242
1,3000,10.0,0.7036121550899138,0.1446477330070275
1,3060,9.0,0.7033042955400867,0.14427122366023404
1,3120,8.0,0.7030989214714766,0.1439687735745495
1,3180,7.0,0.7029932079746382,0.14373862681072924
1,3240,6.0,0.7029844068478411,0.14357897681923548
