game_id,total_elapsed_s,score_diff,wp_caller
2022020934,3578,-1,0.05579976679562046
2022021225,3067,-1,0.18391351490399352
2022020113,2598,-2,0.09576769994380674
2022020649,3755,0,0.5342430884534922
2022021078,1612,-1,0.3372993841634887
2022021109,2056,2,0.8975333487859746
2022021123,3392,0,0.5395247816421063
2022020007,3490,0,0.513646856431216
2022020280,3530,-1,0.07468245509099708
2022020402,3508,-1,0.0855750698406357
2022020664,3550,1,0.9438225281352448
2022020737,3473,0,0.5505367191036524
2022020803,3522,-1,0.07391446193114468
2022021003,2922,1,0.8359524522417188
2022021028,3370,0,0.5397950312404435
2022021044,3510,-2,0.006667643182246012
2022020157,1897,-4,0.029819339921151194
2022020213,3858,0,0.5342430884534922
2022020473,2193,0,0.5599362378731697
2022020746,3688,0,0.5220248987850972
2022020759,3761,0,0.5342430884534922
2022020810,2965,0,0.5555589025215838
2022021029,3854,0,0.5220248987850972
2022020083,3462,-2,0.009433499103062053
2022020186,3834,0,0.5220248987850972
2022020267,2672,1,0.8058206212439566
2022020297,3730,0,0.5342430884534922
2022020434,3578,-1,0.05579976679562046
2022020817,3477,-3,0.0007775167526793998
2022021235,3773,0,0.5342430884534922
2022020166,1625,-2,0.18092542276106863
2022020527,2888,0,0.5439553564952226
2022020607,3464,-3,0.0008854292037157024
2022020826,3460,-2,0.009553863503687067
2022020288,3533,-2,0.005417122553156056
2022020489,3400,-1,0.11186679144440255
2022020819,3561,1,0.9496875172170856
2022021054,3672,0,0.5464203275098297
2022020200,3587,-2,0.002617218226533354
2022021035,507,-3,0.12863141777127823
2022021102,3554,-1,0.06917233917149297
2022020053,3598,-1,0.042090238130783594
2022021234,3103,1,0.8614226916944638
2022020281,3506,-2,0.006562083776931155
2022020058,732,-2,0.22405338152861565
2022020118,3549,-2,0.004795195888263022
2022020530,3520,0,0.5375275545825089
2022020964,3567,-1,0.060828618786311676
2022021293,2585,2,0.9366231905646578
2022020107,3553,-2,0.004355451854352113
2022020129,3543,-1,0.06702815366050038
2022020095,3333,3,0.9984128045730116
2022020422,1446,-3,0.09783076503709867
2022021056,1330,-2,0.2002066889431686
2022021031,3554,-1,0.06917233917149297
2022020300,3565,-1,0.06167600782602821
2022020388,3802,0,0.5464203275098297
2022020178,3564,-1,0.059298739318641686
2023020117,2562,-3,0.029015171600490105
2023020187,3564,-1,0.062093607265103816
2023020253,3471,-1,0.08878118694487266
2023020271,3467,-2,0.009134440263448515
2023020290,3531,-1,0.0743440078878326
2023020299,1376,-4,0.049256427158559754
2023020352,3572,-1,0.05862959511127697
2023020523,3580,-1,0.05479674283549977
2023020553,3498,-2,0.00733783914345288
2023020620,3567,-1,0.060828618786311676
2023020722,3458,-2,0.009216007575831074
2023020886,3458,-2,0.010155889463308301
2023020922,3500,-2,0.006881877423782926
2023020992,3559,1,0.9513817881309571
2023020062,3427,-2,0.011601838018107578
2023020145,3745,0,0.5342430884534922
2023020282,3540,-2,0.005043726888408365
2023020308,854,0,0.5409198796382786
2023020457,3670,0,0.5342430884534922
2023020589,3515,-1,0.07960455118338715
2023020741,3563,-1,0.06250737031325614
2023020823,3897,0,0.5342430884534922
2023020853,3744,0,0.5342430884534922
2023020911,3515,-1,0.07960455118338715
2023020941,3502,1,0.9275704153943386
2023020978,3506,-3,0.0005353801437455645
2023021064,3506,1,0.9317954111241549
2023021136,3555,-1,0.0656961175370612
2023021295,3479,-1,0.09052871905291554
2023020010,3505,-3,0.0005419083562866511
2023020085,3564,-1,0.0650110993219436
2023020348,1853,0,0.5371752835741874
2023020745,3551,-2,0.0046842393770044535
2023020884,3574,-1,0.05510330035581166
2023020945,3190,0,0.5537823673916379
2023020971,3536,-2,0.0052567690130668554
2023020503,3826,0,0.5342430884534922
2023020603,3397,-2,0.014238029395876033
2023020035,1927,-4,0.02868886174120022
2023020263,2821,1,0.8231210408662002
2023020296,3552,-1,0.06684380989503128
2023020381,2708,1,0.8098303822596471
2023020861,3587,-1,0.048623845832058345
2023021083,3581,-1,0.05428154398892014
2023020039,3805,0,0.5342430884534922
2023020142,3553,-1,0.06646383807277043
2023020367,3502,-1,0.08367347465909894
2023020578,3543,-2,0.004884437719732995
2023020852,3118,-4,0.0012478130257770421
2023021251,3524,0,0.5374447481082814
2023020174,3532,-1,0.07400411860069116
2023020802,3538,0,0.5371360661490377
2023021312,2788,-1,0.22257773467571465
2023020090,3494,-1,0.08610289950394363
2023020201,3568,-1,0.05767519595236169
2023020324,2001,3,0.9557877117171542
2023020350,3756,0,0.5342430884534922
2023020571,2661,0,0.5575016850183223
2023020678,3499,1,0.9300542601660324
2023020828,166,-1,0.37311684950218693
2023020013,3857,0,0.5342430884534922
2023020233,2165,1,0.7770434110146807
2023020332,2657,-1,0.26905594688379636
2023020396,3828,0,0.5342430884534922
2023020730,3526,-1,0.07602241701051597
2023020806,3536,-1,0.07262948920717706
2023020966,3746,0,0.5220248987850972
2023021130,3029,0,0.5550920157543853
2023021163,3547,-2,0.004672571159654697
2023020134,2975,0,0.5311614104481744
2023020586,3510,-1,0.07760551428268501
2023020720,3588,1,0.9558490680797055
2023021240,3474,-2,0.008720170254718555
2023021277,3489,0,0.5381088908839017
2023020029,2890,-1,0.22341190989746645
2023020239,3531,-1,0.0743440078878326
2023020511,2657,-1,0.2411273104037577
2023020871,2791,-2,0.06683451220566378
2023020958,3547,-1,0.07191231078226121
2023020036,3567,-1,0.060828618786311676
2023020068,3569,-2,0.0035059630925631698
2023020641,3817,0,0.5342430884534922
2023020704,3474,-1,0.09197065314823982
2023020786,3476,-1,0.09139574195960604
2023020976,3541,-2,0.004990587747695169
2023020996,3578,-1,0.05327209759106925
2023020149,1735,-3,0.08107364868273063
2023020839,3558,-1,0.06452375244632853
2023021135,3544,-1,0.06980009297523472
2023021210,3554,-1,0.06608130213255256
2023020114,3195,0,0.5415922116085207
2023020151,3497,-1,0.08519794614057531
2023020182,3517,-2,0.006596270067347199
2023020752,3361,-2,0.016051364741360256
2023020869,2328,-3,0.047035710243297245
2023021307,3529,-2,0.005913126744245177
2023020069,2882,2,0.9590144202244884
2023020121,3848,0,0.5220248987850972
2023020244,3546,-1,0.06907400792559461
2023020423,3501,-1,0.08028438177044064
2023020442,3521,0,0.5375070525134182
2023020464,2623,2,0.9337253766811576
2023020610,3888,0,0.5342430884534922
2023020857,3513,-1,0.0839351481481918
2023021014,3472,-1,0.09254314444435889
2023020064,3502,-1,0.08367347465909894
2023020099,3505,-2,0.006945280201393686
2023020261,3507,-2,0.006833954826937531
2023020344,3430,-1,0.10874475369180805
2023020355,3488,-2,0.007906799130707628
2023020387,3566,-1,0.05849495408348788
2023020644,3417,0,0.5391994147338682
2023020725,1848,-1,0.32231038721659416
2023020831,3536,-1,0.07262948920717706
2023020938,2877,-6,0.00017933421863042262
2023021126,1572,-3,0.09083777772716027
2023021198,1793,0,0.5374278508495379
2023021042,3488,-3,0.0006918071947563298
2023020496,3643,0,0.5342430884534922
2023020533,1815,-2,0.16589868896281837
2023020733,3552,-1,0.06684380989503128
2023020904,3509,-1,0.07790668521400122
2023021060,3490,-1,0.08729875852871986
2023020382,2643,3,0.9790469827841769
2023020964,3893,0,0.5220248987850972
2023020162,3493,-2,0.007621095685105616
2023020395,3549,-1,0.0711417369599689
2023020875,3566,-2,0.0036665690019242548
2023021175,3540,-1,0.0745416302389432
2023021232,3169,0,0.5296276115075736
2023020663,3525,-2,0.006139587565339134
2023020171,1466,-4,0.046083318087953476
2023020576,782,-3,0.12384053599015672
2023021217,3045,0,0.5306405838784217
2023021112,3500,-1,0.08057783165258041
2023020441,3543,1,0.9417421679222383
2023021177,1925,-2,0.15632154549212618
2023020287,3528,-1,0.0753551441511897
2023020390,1938,-1,0.3156938966000516
2023020744,3539,-1,0.07158169640245296
2023020712,1699,0,0.5378148974338394
2023020860,3516,-2,0.00633738224982286
2023021200,3534,-1,0.07331988598596406
2023021254,3801,0,0.5097802972592671
2023020800,3475,-1,0.08768128796355426
2023020969,3571,-2,0.003398222702144604
2024020090,3516,-1,0.07928460151152347
2024020152,3486,-1,0.0884829126492526
2024020256,3586,-1,0.049190123243903705
2024020298,3521,-1,0.07766828194293758
2024020370,3550,-1,0.06759637750554705
2024020424,3404,-3,0.001411118880549861
2024020445,3846,0,0.5220248987850972
2024020568,3487,-2,0.007964237839294107
2024021002,3530,-2,0.005312546452058664
2024021033,3504,-2,0.006668327130762668
2024021176,3534,-1,0.07331988598596406
2024021190,3003,1,0.8592221053509169
2024021284,3520,-1,0.07454015507123143
2024020042,3512,-1,0.08055811057267452
2024020086,3642,0,0.5342430884534922
2024020148,3486,-1,0.0884829126492526
2024020187,1909,2,0.8828912738674802
2024020272,2023,1,0.7496986515446171
2024020324,3570,-1,0.062328936919529725
2024020345,3563,-1,0.06250737031325614
2024020353,391,-2,0.22918604115827546
2024020372,3491,-1,0.08700091476350491
2024020425,3578,0,0.5359690916784665
2024020669,3535,-1,0.07297547568193567
2024021250,3560,-2,0.004184820083749138
2024020085,3545,-1,0.06943806241840522
2024020239,1715,1,0.7509287294972048
2024020257,3431,0,0.5268033953307463
2024020331,3243,-1,0.1484953624392113
2024020397,2670,1,0.8056009447551256
2024020705,3410,1,0.9100915785739208
2024020755,3542,-1,0.07051829593779521
2024021171,3522,-2,0.006010116821911664
2024020084,2577,0,0.5336743130615402
2024020603,3518,-1,0.07864144702742755
2024020900,3145,3,0.9955344243697906
2024020975,3561,-1,0.06332400023735692
2024020131,1243,0,0.5517188635272344
2024020251,848,-2,0.2209671335254653
2024020677,3503,-2,0.007408974421686911
