game_id,calling_side,score_diff_pre,elapsed_pre,elapsed_post,wp_caller_pre,wp_caller_post,delta_wp
2022021098,home,-2,3552,3600,0.004198236244749421,0.0012259755486056392,-0.0029722606961437824
2022021118,home,0,3499,3801,0.5257242037039495,0.5220248987850972,-0.0036993049188522864
2022020444,home,-1,1995,2301,0.3112280985490124,0.2832845225316395,-0.027943576017372906
2022020488,home,-1,3521,3600,0.07422786975628448,0.0012259755486056392,-0.07300189420767884
2022020591,home,-2,3530,3600,0.005312546452058664,0.0012259755486056392,-0.004086570903453025
2022020756,home,0,3806,3846,0.5220248987850972,0.9702184100346217,0.44819351124952456
2022020781,home,-1,3493,3600,0.08261032278486743,0.035321007106373044,-0.04728931567849439
2022020975,home,-1,3526,3600,0.07264916789185424,0.035321007106373044,-0.0373281607854812
2022021156,home,-1,3533,3600,0.07038623286151113,0.035321007106373044,-0.03506522575513809
2022021190,home,-2,3553,3600,0.004147917150423463,4.114916350330176e-05,-0.004106767986920161
2022020034,home,-3,673,992,0.1261624075172834,0.2161303197282933,0.08996791221100991
2022020146,home,-3,1506,1819,0.0945682922486622,0.013817922524088727,-0.08075036972457347
2022020406,home,-2,135,438,0.22949666742102204,0.37219997111045894,0.1427033036894369
2022020439,home,-1,3538,3600,0.0687273621440433,0.0012259755486056392,-0.06750138659543767
2022020923,home,0,3561,3750,0.5243278118149828,0.9702184100346217,0.44589059821963895
2022020934,home,-1,3578,3600,0.05327209759106925,0.035321007106373044,-0.01795109048469621
2022021225,home,-1,3067,3412,0.17666830191650273,0.01197738643188898,-0.16469091548461376
2022020113,home,-2,2598,2909,0.08760605334047486,0.20380254581293358,0.11619649247245872
2022020649,home,0,3755,3600,0.5220248987850972,0.9702184100346217,0.44819351124952456
2022021078,home,-1,1612,1936,0.3372993841634887,0.536818325331823,0.19951894116833435
2022021109,home,2,2056,2366,0.8881569533022535,0.9123676512798671,0.02421069797761355
2022021123,home,0,3392,3709,0.5273225588610762,0.5220248987850972,-0.005297660075978983
2022020007,home,0,3490,3600,0.5258847012090964,0.9702184100346217,0.44433370882552536
2022020280,home,-1,3530,3835,0.07136407028910213,0.5220248987850972,0.45066082849599504
2022020402,home,-1,3508,3613,0.07820694411023975,0.9702184100346217,0.892011465924382
2022020664,home,1,3550,3600,0.9463663350886089,0.9702184100346217,0.023852074946012825
2022020737,home,0,3473,3734,0.5261707025894782,0.9702184100346217,0.44404770744514355
2022020803,home,-1,3522,3600,0.07391446193114468,0.035321007106373044,-0.03859345482477163
2022021003,home,1,2922,3249,0.8359524522417188,0.8846476555987574,0.048695203357038586
2022021028,home,0,3370,3678,0.5275936993584021,0.5220248987850972,-0.005568800573304888
2022021044,home,-2,3510,3600,0.0063506366688425115,0.0012259755486056392,-0.0051246611202368725
2022020157,home,-4,1897,2227,0.029819339921151194,0.049242709636628995,0.0194233697154778
2022020213,home,0,3858,3867,0.5220248987850972,0.9702184100346217,0.44819351124952456
2022020473,home,0,2193,2502,0.53564999326343,0.5340870101824732,-0.0015629830809568146
2022020746,home,0,3688,3727,0.5220248987850972,0.9702184100346217,0.44819351124952456
2022020759,home,0,3761,3834,0.5220248987850972,0.9702184100346217,0.44819351124952456
2022020810,home,0,2965,3277,0.5312333241149861,0.528615333936441,-0.0026179901785451376
2022021029,home,0,3854,3600,0.5220248987850972,0.035321007106373044,-0.48670389167872413
2022020083,home,-2,3462,3600,0.008986182314009838,0.0012259755486056392,-0.007760206765404199
2022020186,home,0,3834,3600,0.5220248987850972,0.035321007106373044,-0.48670389167872413
2022020267,home,1,2672,2974,0.8058206212439566,0.8429308943953436,0.03711027315138704
2022020297,home,0,3730,3600,0.5220248987850972,0.9702184100346217,0.44819351124952456
2022020434,home,-1,3578,3600,0.05327209759106925,0.035321007106373044,-0.01795109048469621
2022020817,home,-3,3477,3600,0.00070494295859065,1.379566360660573e-06,-0.0007035633922299894
2022021235,home,0,3773,3810,0.5220248987850972,0.9702184100346217,0.44819351124952456
2022020166,home,-2,1625,1926,0.18092542276106863,0.068902956057924,-0.11202246670314463
2022020527,home,0,2888,3217,0.5317686479673933,0.5291958759289607,-0.002572772038432647
2022020607,home,-3,3464,3600,0.0008027909011364036,1.379566360660573e-06,-0.0008014113347757431
2022020826,home,-2,3460,3600,0.009100891723956884,0.035321007106373044,0.02622011538241616
2022020288,home,-2,3533,3600,0.0051592620069514025,0.035321007106373044,0.03016174509942164
2022020489,home,-1,3400,3600,0.10708739770056556,4.114916350330176e-05,-0.10704624853706227
2022020819,home,1,3561,3600,0.9496875172170856,0.9702184100346217,0.020530892817536173
2022021054,home,0,3672,3698,0.5220248987850972,0.9702184100346217,0.44819351124952456
2022020200,home,-2,3587,3600,0.002373333659554333,0.0012259755486056392,-0.0011473581109486938
2022021035,home,-3,507,858,0.12863141777127823,0.2206676366526747,0.09203621888139646
2022021102,home,-1,3554,3862,0.06311902498309607,0.5220248987850972,0.4589058738020011
2022020053,home,-1,3598,3600,0.040157183276027145,0.035321007106373044,-0.004836176169654101
2022021234,home,1,3103,3404,0.8614226916944638,0.9128312511653988,0.05140855947093492
2022020281,home,-2,3506,3600,0.006562083776931155,4.114916350330176e-05,-0.006520934613427853
2022020058,home,-2,732,1062,0.22405338152861565,0.2133656960526626,-0.010687685475953057
2022020118,home,-2,3549,3600,0.004349242245798763,0.035321007106373044,0.03097176486057428
2022020530,home,0,3520,3840,0.5253189709263333,0.5220248987850972,-0.003294072141236115
2022020964,home,-1,3567,3600,0.05808716235853281,0.0012259755486056392,-0.056861186809927175
2022021293,home,2,2585,2907,0.9305469867526035,0.9899393367633339,0.0593923500107304
2022020107,home,-2,3553,3600,0.004147917150423463,0.0012259755486056392,-0.002921941601817824
2022020129,home,-1,3543,3600,0.06702815366050038,0.035321007106373044,-0.03170714655412734
2022020095,home,3,3333,3600,0.9982495620923597,0.9999988434329778,0.0017492813406181362
2022020422,home,-3,1446,1772,0.09783076503709867,0.07876571285102354,-0.019065052186075127
2022021056,home,-2,1330,1660,0.2002066889431686,0.17830711593311813,-0.021899573010050466
2022021031,home,-1,3554,3789,0.06311902498309607,0.035321007106373044,-0.02779801787672303
2022020300,home,-1,3565,3600,0.058898755886044006,0.035321007106373044,-0.023577748779670962
2022020388,home,0,3802,3849,0.5220248987850972,0.9702184100346217,0.44819351124952456
2022020178,home,-1,3564,3600,0.059298739318641686,0.035321007106373044,-0.023977732212268642
2023020117,home,-3,2562,2880,0.029015171600490105,0.003270676714577571,-0.025744494885912534
2023020187,home,-1,3564,3600,0.059298739318641686,0.0012259755486056392,-0.05807276377003605
2023020253,home,-1,3471,3600,0.08878118694487266,0.035321007106373044,-0.05346017983849962
2023020271,home,-2,3467,3600,0.008701179654545645,0.0012259755486056392,-0.007475204105940006
2023020290,home,-1,3531,3600,0.07103950685987052,0.035321007106373044,-0.03571849975349748
2023020299,home,-4,1376,1678,0.049256427158559754,0.03818376450037055,-0.011072662658189202
2023020352,home,-1,3572,3600,0.055981337975189144,0.035321007106373044,-0.0206603308688161
2023020523,home,-1,3580,3600,0.05231199222588333,0.035321007106373044,-0.016990985119510284
2023020553,home,-2,3498,3600,0.006989193021783943,0.0012259755486056392,-0.005763217473178304
2023020620,home,-1,3567,3600,0.05808716235853281,0.035321007106373044,-0.02276615525215977
2023020722,home,-2,3458,3600,0.009216007575831074,4.114916350330176e-05,-0.009174858412327772
2023020886,home,-2,3458,3600,0.009216007575831074,4.114916350330176e-05,-0.009174858412327772
2023020922,home,-2,3500,3600,0.006881877423782926,0.0012259755486056392,-0.005655901875177287
2023020992,home,1,3559,3600,0.9490630570320043,0.9702184100346217,0.021155353002617394
2023020062,home,-2,3427,3600,0.011052850390331099,0.0012259755486056392,-0.00982687484172546
2023020145,home,0,3745,3600,0.5220248987850972,0.9989719931838715,0.47694709439877436
2023020282,home,-2,3540,3600,0.004803554512359709,0.0012259755486056392,-0.00357757896375407
2023020308,home,0,854,1171,0.5409198796382786,0.7122651795601095,0.1713452999218309
2023020457,home,0,3670,3600,0.5220248987850972,0.035321007106373044,-0.48670389167872413
2023020589,home,-1,3515,3600,0.07608544490079557,0.035321007106373044,-0.04076443779442252
2023020741,home,-1,3563,3600,0.05969506400658943,0.035321007106373044,-0.024374056900216386
2023020823,home,0,3897,3600,0.5220248987850972,0.035321007106373044,-0.48670389167872413
2023020853,home,0,3744,3873,0.5220248987850972,0.035321007106373044,-0.48670389167872413
2023020911,home,-1,3515,3694,0.07608544490079557,0.9702184100346217,0.8941329651338261
2023020941,home,1,3502,3600,0.9338885280987647,0.9702184100346217,0.03632988193585707
2023020978,home,-3,3506,3600,0.0005097763991205985,4.114916350330176e-05,-0.0004686272356172968
2023021064,home,1,3506,3600,0.9348462301974959,0.9702184100346217,0.03537217983712582
2023021136,home,-1,3555,3600,0.06274994718607503,0.035321007106373044,-0.027428940079701987
2023021295,home,-1,3479,3600,0.08657210835952366,0.0012259755486056392,-0.08534613281091802
2023020010,home,-3,3505,3600,0.0005159925709630095,1.379566360660573e-06,-0.0005146130046023489
2023020085,home,-1,3564,3600,0.059298739318641686,0.0012259755486056392,-0.05807276377003605
2023020348,home,0,1853,2176,0.5371752835741874,0.8972205837463266,0.3600453001721392
2023020745,home,-2,3551,3600,0.0042485606479298775,0.0012259755486056392,-0.0030225850993242384
2023020884,home,-1,3574,3600,0.05510330035581166,0.035321007106373044,-0.019782293249438615
2023020945,home,0,3190,3490,0.5294419119721265,0.5258847012090964,-0.003557210763030172
2023020971,home,-2,3536,3600,0.005006503035815699,4.114916350330176e-05,-0.004965353872312397
2023020503,home,0,3826,3600,0.5220248987850972,0.9702184100346217,0.44819351124952456
2023020603,home,-2,3397,3600,0.012925296885581533,1.379566360660573e-06,-0.012923917319220872
2023020035,home,-4,1927,2231,0.02868886174120022,0.017950079045696475,-0.010738782695503744
2023020263,home,1,2821,3126,0.8231210408662002,0.8649086879939935,0.04178764712779326
2023020296,home,-1,3552,3600,0.06384968813111473,0.035321007106373044,-0.028528681024741688
2023020381,home,1,2708,3009,0.8098303822596471,0.5309123880908224,-0.2789179941688247
2023020861,home,-1,3587,3600,0.048623845832058345,0.035321007106373044,-0.013302838725685301
2023021083,home,-1,3581,3648,0.051818874244699414,0.9702184100346217,0.9183995357899223
2023020039,home,0,3805,3600,0.5220248987850972,0.9702184100346217,0.44819351124952456
2023020142,home,-1,3553,3600,0.06348557838781654,0.035321007106373044,-0.0281645712814435
2023020367,home,-1,3502,3600,0.07999012482024308,0.035321007106373044,-0.044669117713870034
2023020578,home,-2,3543,3600,0.004651814918232604,0.0012259755486056392,-0.0034258393696269653
2023020852,home,-4,3118,3426,0.0011313912515704496,1.139433490530938e-05,-0.0011199969166651403
2023021251,home,0,3524,3778,0.5252359092114295,0.035321007106373044,-0.48991490210505645
2023020174,home,-1,3532,3600,0.07071357112062177,0.0012259755486056392,-0.06948759557201613
2023020802,home,0,3538,3757,0.5249262817313874,0.035321007106373044,-0.4896052746250144
2023021312,home,-1,2788,3108,0.22257773467571465,0.16909622998363538,-0.05348150469207927
2023020090,home,-1,3494,3600,0.08232221295311914,4.114916350330176e-05,-0.08228106378961585
2023020201,home,-1,3568,3600,0.05767519595236169,0.035321007106373044,-0.022354188845988644
2023020324,home,3,2001,2328,0.9514536580256554,0.9672996394012031,0.015845981375547713
2023020350,home,0,3756,3879,0.5220248987850972,0.9702184100346217,0.44819351124952456
2023020571,home,0,2661,2994,0.533193093786906,0.5310231316553948,-0.002169962131511216
2023020678,home,1,3499,3600,0.933177376386608,0.9702184100346217,0.0370410336480137
2023020828,home,-1,166,468,0.37311684950218693,0.228518935346058,-0.14459791415612894
2023020013,home,0,3857,3600,0.5220248987850972,0.9702184100346217,0.44819351124952456
2023020233,home,1,2165,2481,0.7595946001924664,0.7862490010125702,0.02665440082010384
2023020332,home,-1,2657,2970,0.2411273104037577,0.1936952231893112,-0.0474320872144465
2023020396,home,0,3828,3600,0.5220248987850972,0.035321007106373044,-0.48670389167872413
2023020730,home,-1,3526,3600,0.07264916789185424,0.035321007106373044,-0.0373281607854812
2023020806,home,-1,3536,3600,0.06939548319956873,0.035321007106373044,-0.03407447609319569
2023020966,home,0,3746,3600,0.5220248987850972,0.9702184100346217,0.44819351124952456
2023021130,home,0,3029,3345,0.5307624668154355,0.12010635616928134,-0.41065611064615415
2023021163,home,-2,3547,3600,0.004449993444440101,0.0012259755486056392,-0.003224017895834462
2023020134,home,0,2975,3281,0.5311614104481744,0.13433926070928617,-0.3968221497388883
2023020586,home,-1,3510,3600,0.07760551428268501,0.0012259755486056392,-0.07637953873407938
2023020720,home,1,3588,3600,0.9598072910365418,0.9702184100346217,0.010411118998079893
2023021240,home,-2,3474,3600,0.008306394391277826,0.035321007106373044,0.02701461271509522
2023021277,home,0,3489,3641,0.5259021181449662,0.035321007106373044,-0.4905811110385932
2023020029,home,-1,2890,3192,0.20686060742849027,0.15282423229195496,-0.05403637513653531
2023020239,home,-1,3531,3777,0.07103950685987052,0.9702184100346217,0.8991789031747512
2023020511,home,-1,2657,2978,0.2411273104037577,0.04767393669929962,-0.1934533737044581
2023020871,home,-2,2791,3127,0.06683451220566378,0.03370883694250881,-0.03312567526315496
2023020958,home,-1,3547,3600,0.06563612752580437,0.035321007106373044,-0.03031512041943133
2023020036,home,-1,3567,3600,0.05808716235853281,0.035321007106373044,-0.02276615525215977
2023020068,home,-2,3569,3600,0.0033387702888020513,0.0012259755486056392,-0.0021127947401964123
2023020641,home,0,3817,3899,0.5220248987850972,0.9702184100346217,0.44819351124952456
2023020704,home,-1,3474,3600,0.08795711674925843,0.0012259755486056392,-0.0867311412006528
2023020786,home,-1,3476,3600,0.0874048793063957,0.035321007106373044,-0.05208387220002266
2023020976,home,-2,3541,3600,0.0047529336655381055,0.0012259755486056392,-0.0035269581169324665
2023020996,home,-1,3578,3600,0.05327209759106925,0.035321007106373044,-0.01795109048469621
2023020149,home,-3,1735,2040,0.08107364868273063,0.06144359026136269,-0.019630058421367946
2023020839,home,-1,3558,3600,0.061626689445542074,0.035321007106373044,-0.02630568233916903
2023021135,home,-1,3544,3600,0.06668301370070708,0.035321007106373044,-0.03136200659433403
2023021210,home,-1,3554,3600,0.06311902498309607,0.035321007106373044,-0.02779801787672303
2023020114,home,0,3195,3508,0.5293969873846274,0.5255563089387452,-0.0038406784458822063
2023020151,home,-1,3497,3600,0.08145345359441872,0.0012259755486056392,-0.08022747804581308
2023020182,home,-2,3517,3600,0.005983823486773136,0.0012259755486056392,-0.004757847938167497
2023020752,home,-2,3361,3600,0.015295088000083517,0.035321007106373044,0.02002591910628953
2023020869,home,-3,2328,2642,0.04283044964228641,0.8025591861824672,0.7597287365401808
2023021307,home,-2,3529,3600,0.005363765778313694,0.035321007106373044,0.02995724132805935
2023020069,home,2,2882,3183,0.954981776811667,0.8738163534280433,-0.08116542338362365
2023020121,home,0,3848,3600,0.5220248987850972,0.9702184100346217,0.44819351124952456
2023020244,home,-1,3546,3600,0.06598705342320249,0.035321007106373044,-0.030666046316829447
2023020423,home,-1,3501,3600,0.08028438177044064,0.035321007106373044,-0.0449633746640676
2023020442,home,0,3521,3830,0.5252984055992338,0.5220248987850972,-0.0032735068141366286
2023020464,home,2,2623,2926,0.9337253766811576,0.9584465971692057,0.024721220488048035
2023020610,home,0,3888,3600,0.5220248987850972,0.9702184100346217,0.44819351124952456
2023020857,home,-1,3513,3600,0.07669637888191766,0.035321007106373044,-0.041375371775544616
2023021014,home,-1,3472,3600,0.0885070600619309,0.035321007106373044,-0.05318605295555786
2023020064,home,-1,3502,3739,0.07999012482024308,0.035321007106373044,-0.044669117713870034
2023020099,home,-2,3505,3600,0.006615161616087568,0.0012259755486056392,-0.005389186067481929
2023020261,home,-2,3507,3600,0.0065090930042289935,0.0012259755486056392,-0.0052831174556233545
2023020344,home,-1,3430,3628,0.09959897627302688,0.035321007106373044,-0.06427796916665385
2023020355,home,-2,3488,3600,0.007531324853069055,4.114916350330176e-05,-0.007490175689565753
2023020387,home,-1,3566,3600,0.05849495408348788,0.035321007106373044,-0.023173946977114834
2023020644,home,0,3417,3712,0.5269961289048853,0.9702184100346217,0.4432222811297364
2023020725,home,-1,1848,2172,0.32231038721659416,0.2959162216164787,-0.026394165600115482
2023020831,home,-1,3536,3600,0.06939548319956873,0.0012259755486056392,-0.0681695076509631
2023020938,home,-6,2877,3180,0.00017933421863042262,0.00013044643655215138,-4.888778207827124e-05
2023021126,home,-3,1572,1908,0.09083777772716027,0.07007233870260218,-0.02076543902455809
2023021198,home,0,1793,2098,0.5374278508495379,0.3025914787952116,-0.23483637205432634
2023021042,home,-3,3488,3600,0.0006272285508959138,0.0012259755486056392,0.0005987469977097254
2023020496,home,0,3643,3701,0.5220248987850972,0.9702184100346217,0.44819351124952456
2023020533,home,-2,1815,2141,0.16589868896281837,0.020953270657609515,-0.14494541830520885
2023020733,home,-1,3552,3600,0.06384968813111473,0.035321007106373044,-0.028528681024741688
2023020904,home,-1,3509,3600,0.07790668521400122,0.0012259755486056392,-0.07668070966539559
2023021060,home,-1,3490,3796,0.08347035895772162,0.5220248987850972,0.4385545398273756
2023020382,home,3,2643,2944,0.980966876763991,0.9909706996313589,0.010003822867367895
2023020964,home,0,3893,3600,0.5220248987850972,0.9702184100346217,0.44819351124952456
2023020162,home,-2,3493,3600,0.007259089483889145,0.0012259755486056392,-0.006033113935283506
2023020395,home,-1,3549,3600,0.06492810102409977,0.035321007106373044,-0.029607093917726722
2023020875,home,-2,3566,3600,0.00349174404093304,0.0012259755486056392,-0.0022657684923274007
2023021175,home,-1,3540,3600,0.06805279825633913,0.035321007106373044,-0.032731791149966084
2023021232,home,0,3169,3490,0.5296276115075736,0.5258847012090964,-0.0037429102984772866
2023020663,home,-2,3525,3600,0.005569305054990651,0.0012259755486056392,-0.004343329506385012
2023020171,home,-4,1466,1767,0.046083318087953476,0.03477799762448934,-0.011305320463464136
2023020576,home,-3,782,1099,0.12384053599015672,0.11389535170902643,-0.009945184281130295
2023021217,home,0,3045,3353,0.5306405838784217,0.9030490989138791,0.37240851503545735
2023021112,home,-1,3500,3807,0.08057783165258041,0.5220248987850972,0.44144706713251675
2023020441,home,1,3543,3600,0.9443746250381014,0.9702184100346217,0.02584378499652029
2023021177,home,-2,1925,2236,0.15632154549212618,0.12624079995681375,-0.030080745535312425
2023020287,home,-1,3528,3600,0.07200919563610213,0.035321007106373044,-0.036688188529729084
2023020390,home,-1,1938,2242,0.3156938966000516,0.2892229803761464,-0.026470916223905183
2023020744,home,-1,3539,3714,0.06839090522546942,0.035321007106373044,-0.03306989811909638
2023020712,home,0,1699,2039,0.5378148974338394,0.5363622044716295,-0.001452692962209845
2023020860,home,-2,3516,3600,0.0060359822536984265,0.0012259755486056392,-0.0048100067050927875
2023021200,home,-1,3534,3600,0.07005746071989462,0.035321007106373044,-0.034736453613521574
2023021254,home,0,3801,3831,0.5220248987850972,0.035321007106373044,-0.48670389167872413
2023020800,home,-1,3475,3600,0.08768128796355426,0.035321007106373044,-0.05236028085718122
2023020969,home,-2,3571,3600,0.0032361511498738642,4.114916350330176e-05,-0.0031950019863705623
2024020090,home,-1,3516,3600,0.07577847483455644,4.114916350330176e-05,-0.07573732567105314
2024020152,home,-1,3486,3600,0.0846073970865288,0.0012259755486056392,-0.08338142153792316
2024020256,home,-1,3586,3600,0.049190123243903705,0.035321007106373044,-0.013869116137530661
2024020298,home,-1,3521,3600,0.07422786975628448,0.035321007106373044,-0.03890686264991144
2024020370,home,-1,3550,3600,0.06457087870497295,0.035321007106373044,-0.02924987159859991
2024020424,home,-3,3404,3600,0.001343690562093221,1.379566360660573e-06,-0.0013423109957325604
2024020445,home,0,3846,3600,0.5220248987850972,0.9989719931838715,0.47694709439877436
2024020568,home,-2,3487,3600,0.0075860567966677984,0.0012259755486056392,-0.006360081248062159
2024021002,home,-2,3530,3600,0.005312546452058664,0.035321007106373044,0.03000846065431438
2024021033,home,-2,3504,3600,0.006668327130762668,4.114916350330176e-05,-0.006627177967259366
